ap,p,t,B,lfc
0.996,0.002617,3.9738995,-3.73,1.09018932
0.996,0.002655,3.9650937,-3.73,1.40184028
0.996,0.002659,-3.9641982,-3.73,-0.82857248
0.996,0.002663,3.9632604,-3.73,0.5425581
0.996,0.002771,3.9386575,-3.73,0.65630818
0.996,0.002842,3.9229971,-3.74,0.95626726
0.996,0.002869,3.9173123,-3.74,0.7286264
0.996,0.002891,3.9126299,-3.74,0.6677287
0.996,0.002891,3.9125779,-3.74,0.60585706
0.996,0.002909,3.9086252,-3.74,1.0992721
0.996,0.002971,-3.8957144,-3.74,-0.91774548
0.996,0.002987,3.8924996,-3.74,0.47104136
0.996,0.002998,-3.8901475,-3.74,-0.90969628
0.996,0.003022,3.8852761,-3.75,1.1904872
0.996,0.003031,3.8834587,-3.75,0.82950182
0.996,0.003124,-3.8649886,-3.75,-1.0384453
0.996,0.003152,3.8594073,-3.75,0.87646646
0.996,0.003168,-3.8563202,-3.75,-1.39711184
0.996,0.003257,3.839449,-3.76,0.578588
0.996,0.003262,3.8384023,-3.76,0.9602031
0.996,0.003282,3.8346693,-3.76,0.40257256
0.996,0.003327,3.8264618,-3.76,1.19190852
0.996,0.003344,3.8232473,-3.76,0.7982488
0.996,0.003361,3.8202124,-3.76,2.56857508
0.996,0.003381,-3.8166505,-3.76,-1.06755286
0.996,0.003444,3.8052976,-3.76,0.4484657
0.996,0.003474,-3.7999528,-3.77,-1.0371918
0.996,0.003478,3.7992452,-3.77,0.79529006
0.996,0.003515,3.792805,-3.77,0.7492785
0.996,0.003517,-3.7925566,-3.77,-0.35688024
0.996,0.00354,3.7885059,-3.77,0.7438401
0.996,0.003543,3.7880299,-3.77,0.60443706
0.996,0.003552,-3.7865263,-3.77,-0.589093
0.996,0.003585,-3.7809016,-3.77,-1.60836992
0.996,0.003587,3.7805119,-3.77,0.5236222
0.996,0.00369,-3.7632835,-3.77,-2.13613246
0.996,0.003724,3.757727,-3.78,0.56153612
0.996,0.003753,3.752996,-3.78,0.90538258
0.996,0.003771,-3.7501217,-3.78,-0.9631486
0.996,0.003787,3.747566,-3.78,0.56246588
0.996,0.003805,3.7445646,-3.78,0.78443884
0.996,0.003825,3.7414997,-3.78,0.7011471
0.996,0.003828,3.7409648,-3.78,0.7167739
0.996,0.003837,-3.7395741,-3.78,-0.4180917
0.996,0.003838,3.7394405,-3.78,0.54483292
0.996,0.00384,3.7391131,-3.78,0.7275468
0.996,0.003845,-3.7382965,-3.78,-0.6049322
0.996,0.003861,3.7357381,-3.78,0.5946274
0.996,0.003862,-3.7356682,-3.78,-1.2392174
0.996,0.003863,-3.7353764,-3.78,-0.66536218
0.996,0.003878,3.7330087,-3.78,0.6880864
0.996,0.003896,-3.7302189,-3.78,-0.7730708
0.996,0.003914,-3.7274232,-3.78,-0.83038396
0.996,0.003936,3.724063,-3.78,0.64247822
0.996,0.003961,3.7202074,-3.78,0.68432122
0.996,0.003998,-3.7146376,-3.79,-0.8211114
